,Well,Sampling year,Sampling season,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
592,J22,2006,dry,C2,#008080,^,20,0.6,8.33,132.74,21.0,11.71,1.11,505.0,0,5.0,1.0
593,J22,2007,dry,C2,#008080,^,20,0.6,7.28,136.87,18.5,12.03,1.1,530.0,0,5.0,2.0
594,J22,2007,wet,C2,#008080,^,20,0.6,7.66,84.1,28.5,10.79,1.04,342.5,0,46.25,1.0
595,J22,2008,dry,C2,#008080,^,20,0.6,7.51,138.52,18.0,11.91,1.23,530.0,0,3.75,1.0
596,J22,2008,wet,C2,#008080,^,20,0.6,7.65,131.1,17.5,11.66,1.0,515.0,0,6.25,1.0
597,J22,2009,dry,C2,#008080,^,20,0.6,7.51,129.45,28.5,12.03,1.78,575.0,0,2.5,1.0
598,J22,2009,wet,C1,#808000,s,20,0.6,7.4,206.95,47.5,28.34,0.98,667.5,0,98.75,100.0
599,J22,2010,dry,C2,#008080,^,20,0.6,7.63,160.78,25.5,18.42,1.22,617.5,0,31.25,1.0
600,J22,2010,wet,C2,#008080,^,20,0.6,7.39,136.87,18.5,11.65,1.11,537.5,0,2.5,1.0
601,J22,2011,dry,C2,#008080,^,20,0.6,8.42,128.62,23.5,10.59,1.01,512.5,0,6.25,1.0
602,J22,2011,wet,C2,#008080,^,20,0.6,7.38,126.85,18.88,12.5,1.62,532.76,0,5.59,1.0
603,J22,2012,dry,C2,#008080,^,20,0.6,7.64,162.93,25.66,20.72,1.62,625.72,0,39.19,1.0
604,J22,2012,wet,C2,#008080,^,20,0.6,7.76,151.96,25.18,15.79,1.55,614.81,0,16.79,8.0
605,J22,2013,dry,C2,#008080,^,20,0.6,7.88,142.68,20.91,14.9,1.84,589.58,0,14.65,0.5
606,J22,2013,wet,C2,#008080,^,20,0.6,7.68,115.43,19.45,11.33,2.48,488.13,0,3.4,6.09
607,J22,2014,dry,C2,#008080,^,20,0.6,7.57,137.98,23.7,14.84,1.39,574.3,0,11.12,2.0
608,J22,2014,wet,C2,#008080,^,20,0.6,7.5,133.87,20.91,12.49,1.76,546.43,0,5.56,1.0
609,J23,1992,dry,C3,#3cb44b,o,20,0.6,7.1,55.2,8.5,23.7,6.9,205.0,0,21.2,50.0
610,J23,1992,wet,C2,#008080,^,20,0.6,7.9,37.1,35.0,16.0,2.2,340.0,0,1.2,2.5
611,J23,1993,dry,C2,#008080,^,20,0.6,6.9,154.2,38.0,17.1,2.3,732.5,0,2.5,2.5
612,J23,1993,wet,C2,#008080,^,20,0.6,7.1,152.5,37.5,17.7,2.1,715.0,0,1.2,2.5
613,J23,1994,wet,C2,#008080,^,20,0.6,7.1,153.4,40.0,18.1,2.7,720.0,0,1.2,2.5
614,J23,1995,dry,C2,#008080,^,20,0.6,7.4,153.4,38.5,16.4,1.5,730.0,0,2.5,5.0
615,J23,1995,wet,C2,#008080,^,20,0.6,7.0,156.7,38.0,21.5,2.9,707.9,0,1.3,2.5
616,J23,1996,dry,C2,#008080,^,20,0.6,7.1,153.36,38.0,17.3,2.4,707.54,0,3.75,1.0
617,J23,1996,wet,C2,#008080,^,20,0.6,7.0,152.53,46.5,18.3,2.3,720.04,0,1.25,1.0
618,J23,1997,wet,C2,#008080,^,20,0.6,7.29,148.41,40.0,15.71,2.2,700.03,0,1.25,1.0
619,J23,1998,dry,C2,#008080,^,20,0.6,7.57,142.64,37.5,22.5,2.4,685.03,0,3.75,1.0
620,J23,1998,wet,C2,#008080,^,20,0.6,7.14,140.99,36.5,15.88,2.29,665.03,0,2.5,1.0
621,J23,1999,dry,C2,#008080,^,20,0.6,7.41,146.76,37.0,17.5,2.5,680.03,0,3.75,1.0
622,J23,1999,wet,C2,#008080,^,20,0.6,7.71,129.45,36.0,18.6,1.9,632.53,0,5.0,1.0
623,J23,2000,dry,C2,#008080,^,20,0.6,7.33,146.76,36.5,16.25,2.38,687.53,0,3.75,1.0
624,J23,2000,wet,C7,#e6194b,D,20,0.6,7.88,151.71,37.5,16.67,2.1,712.54,0,5.0,1.0
625,J23,2001,dry,C2,#008080,^,20,0.6,7.5,148.41,36.0,19.23,2.18,700.03,0,5.0,1.0
626,J23,2001,wet,C2,#008080,^,20,0.6,6.95,168.2,39.5,18.33,1.88,757.54,0,7.5,1.0
627,J23,2002,dry,C2,#008080,^,20,0.6,7.0,134.39,38.0,17.422,3.734,627.53,0,6.25,0.2
628,J23,2002,wet,C2,#008080,^,20,0.6,7.5,137.69,36.5,16.48,2.79,617.53,0,7.5,0.8
629,J23,2003,dry,C1,#808000,s,20,0.6,7.8,131.92,43.5,16.77,2.13,625.03,0,11.25,13.0
630,J23,2003,wet,C2,#008080,^,20,0.6,7.5,108.83,35.5,18.71,2.18,550.03,0,12.5,1.0
631,J23,2004,dry,C2,#008080,^,20,0.6,8.27,106.36,27.5,10.79,2.05,515.03,0,2.5,1.0
632,J23,2004,wet,C2,#008080,^,20,0.6,8.31,95.64,28.0,9.98,2.24,380.02,0,2.5,1.0
633,J23,2005,dry,C2,#008080,^,20,0.6,7.09,107.19,32.0,10.3,2.28,547.5,0,1.25,2.0
634,J23,2005,wet,C2,#008080,^,20,0.6,7.46,112.96,27.0,10.03,2.43,540.0,0,5.0,0.2
635,J23,2006,dry,C1,#808000,s,20,0.6,7.89,179.74,37.5,25.45,1.11,470.0,0,46.25,150.0
636,J23,2006,wet,C1,#808000,s,20,0.6,7.6,135.22,33.0,22.85,1.17,352.5,0,40.0,150.0
637,J23,2007,dry,C1,#808000,s,20,0.6,7.53,191.28,46.5,22.91,0.87,560.0,0,110.0,100.0
638,J23,2007,wet,C1,#808000,s,20,0.6,7.38,209.42,49.0,23.06,0.79,602.5,0,110.0,100.0
639,J23,2008,dry,C1,#808000,s,20,0.6,7.48,183.86,37.5,28.28,0.95,672.5,0,68.75,35.0
640,J23,2008,wet,C1,#808000,s,20,0.6,7.43,193.76,51.5,26.4,0.91,660.0,0,93.75,75.0
641,J23,2009,wet,C2,#008080,^,20,0.6,7.45,122.03,35.5,12.57,2.3,582.5,0,2.5,1.0
642,J23,2010,dry,C1,#808000,s,20,0.6,7.54,221.79,47.5,55.32,1.48,680.0,0,100.0,160.0
643,J23,2010,wet,C1,#808000,s,20,0.6,7.2,220.97,49.5,24.28,0.82,655.0,0,112.5,94.0
644,J23,2011,dry,C1,#808000,s,20,0.6,7.4,177.27,40.5,23.23,0.78,692.5,0,63.75,12.0
645,J23,2011,wet,C1,#808000,s,20,0.6,7.36,207.01,47.2,40.44,1.79,621.56,0,67.04,150.0
646,J23,2012,dry,C1,#808000,s,20,0.6,7.59,222.46,51.79,57.37,2.51,685.89,0,74.18,180.0
647,J23,2012,wet,C1,#808000,s,20,0.6,7.7,216.2,41.81,50.0,1.92,650.28,0,50.38,175.0
648,J23,2013,dry,C1,#808000,s,20,0.6,7.15,218.04,42.3,51.4,2.23,695.7,0,57.13,140.0
649,J23,2013,wet,C1,#808000,s,20,0.6,7.26,173.95,37.92,46.67,2.64,517.54,0,38.77,138.47
650,J23,2014,dry,C1,#808000,s,20,0.6,7.26,164.3,40.15,44.4,1.24,624.23,0,41.69,106.28
651,J23,2014,wet,C2,#008080,^,20,0.6,6.97,124.24,31.12,11.92,3.24,558.58,0,11.12,8.0
652,J24,1992,dry,C2,#008080,^,20,0.6,7.7,106.4,26.5,18.0,1.7,522.5,0,2.5,2.5
653,J24,1992,wet,C2,#008080,^,20,0.6,7.0,107.2,32.0,15.8,1.2,540.0,0,6.2,10.0
654,J24,1993,dry,C2,#008080,^,20,0.6,7.1,123.7,27.0,16.8,1.1,567.5,0,3.8,2.5
655,J24,1993,wet,C2,#008080,^,20,0.6,6.9,113.8,28.0,9.1,0.7,512.5,0,2.5,2.5
656,J24,1994,wet,C2,#008080,^,20,0.6,7.1,114.6,28.0,8.8,1.3,515.0,0,2.5,2.5
657,J24,1995,dry,C5,#FA8072,^,20,0.6,7.4,70.1,24.0,19.6,1.4,332.5,0,17.5,20.0
658,J24,1995,wet,C2,#008080,^,20,0.6,7.0,117.9,26.5,10.6,1.4,512.8,0,3.8,2.5
659,J24,1996,dry,C2,#008080,^,20,0.6,8.0,103.06,28.5,15.5,1.1,487.52,0,3.75,1.0
660,J24,1997,dry,C2,#008080,^,20,0.6,7.72,128.62,31.5,15.95,0.86,582.53,0,1.25,1.0
661,J24,1997,wet,C2,#008080,^,20,0.6,7.58,128.62,30.0,14.29,0.95,595.03,0,0.01,1.0
662,J24,1998,dry,C2,#008080,^,20,0.6,7.52,131.1,30.5,20.5,1.2,600.03,0,2.5,1.0
663,J24,1998,wet,C2,#008080,^,20,0.6,7.5,131.1,31.0,15.29,1.14,585.03,0,1.25,1.0
664,J24,1999,dry,C2,#008080,^,20,0.6,7.38,133.57,29.5,16.9,1.3,605.03,0,1.25,0.6
665,J24,1999,wet,C2,#008080,^,20,0.6,7.49,133.57,29.0,17.3,0.8,605.03,0,2.5,1.0
666,J24,2000,dry,C2,#008080,^,20,0.6,7.3,136.04,29.0,13.75,1.12,610.03,0,1.25,1.0
667,J24,2000,wet,C2,#008080,^,20,0.6,7.55,136.04,28.5,15.56,1.0,605.03,0,2.5,1.0
668,J24,2001,dry,C2,#008080,^,20,0.6,7.44,137.69,29.5,17.69,1.09,612.53,0,1.25,1.0
669,J24,2001,wet,C2,#008080,^,20,0.6,7.0,122.85,28.0,14.67,1.38,520.03,0,7.5,2.0
670,J24,2002,dry,C2,#008080,^,20,0.6,7.23,120.38,27.5,14.892,1.764,532.53,0,2.5,1.0
671,J24,2002,wet,C2,#008080,^,20,0.6,7.6,112.13,28.0,7.61,1.43,500.02,0,2.5,1.2
672,J24,2003,dry,C2,#008080,^,20,0.6,7.98,106.36,29.0,13.47,1.54,505.03,0,6.25,1.0
673,J24,2003,wet,C2,#008080,^,20,0.6,7.46,84.92,26.0,15.46,1.28,432.52,0,2.5,1.0
674,J24,2004,dry,C2,#008080,^,20,0.6,7.84,95.64,27.5,15.51,1.31,467.52,0,2.5,1.0
675,J24,2004,wet,C2,#008080,^,20,0.6,7.9,109.66,28.0,14.58,1.23,520.03,0,1.25,0.4
676,J24,2005,dry,C2,#008080,^,20,0.6,7.43,125.32,29.5,18.02,0.7,590.0,0,1.25,2.0
677,J24,2005,wet,C2,#008080,^,20,0.6,8.02,124.5,28.5,18.91,0.64,567.5,0,2.5,0.2
678,J24,2006,dry,C2,#008080,^,20,0.6,7.9,127.8,26.0,6.2,1.12,532.5,0,1.25,9.0
679,J24,2006,wet,C2,#008080,^,20,0.6,7.7,131.1,35.0,18.66,0.77,565.0,0,28.75,1.0
680,J24,2007,dry,C2,#008080,^,20,0.6,7.1,112.96,27.0,7.68,1.08,497.5,0,1.25,2.0
681,J24,2007,wet,C2,#008080,^,20,0.6,7.29,98.12,34.0,6.77,1.0,495.0,0,2.5,1.0
682,J24,2008,dry,C2,#008080,^,20,0.6,7.46,115.43,26.0,7.33,1.14,500.0,0,2.5,1.0
683,J24,2008,wet,C2,#008080,^,20,0.6,8.22,87.4,28.0,8.52,1.09,395.0,0,5.0,1.0
684,J24,2009,dry,C4,#0082c8,s,20,0.6,7.62,80.8,17.0,20.44,0.66,392.5,0,1.25,1.0
685,J24,2009,wet,C2,#008080,^,20,0.6,7.52,139.34,34.5,16.88,1.19,582.5,0,5.0,40.0
686,J24,2010,dry,C2,#008080,^,20,0.6,7.2,126.97,27.0,5.39,1.08,535.0,0,1.25,1.0
687,J24,2010,wet,C2,#008080,^,20,0.6,8.28,122.03,30.0,7.25,0.93,505.0,0,2.5,1.0
688,J24,2011,dry,C2,#008080,^,20,0.6,7.36,126.15,27.5,6.04,1.0,542.5,0,1.25,1.0
689,J24,2011,wet,C2,#008080,^,20,0.6,7.42,129.19,28.32,7.41,1.49,539.11,0,2.79,1.0
690,J24,2012,dry,C2,#008080,^,20,0.6,7.65,117.5,35.16,10.64,2.9,565.56,0,6.6,1.0
691,J24,2012,wet,C2,#008080,^,20,0.6,7.8,97.13,33.26,9.22,1.64,472.93,0,5.6,1.0
692,J24,2013,dry,C2,#008080,^,20,0.6,7.75,126.65,27.23,8.68,1.75,571.89,0,4.39,1.0
693,J24,2013,wet,C2,#008080,^,20,0.6,7.24,145.89,26.25,8.88,4.76,635.16,0,6.22,6.03
694,J24,2014,dry,C2,#008080,^,20,0.6,7.41,126.02,28.06,8.82,1.56,568.05,0,2.78,2.0
695,J24,2014,wet,C2,#008080,^,20,0.6,7.46,125.05,28.2,7.66,1.83,546.43,0,2.78,1.0
696,J25,1992,dry,C2,#008080,^,20,0.6,7.0,135.2,28.0,12.6,1.3,595.0,0,7.5,7.5
697,J25,1992,wet,C2,#008080,^,20,0.6,7.1,136.9,28.0,10.0,1.2,602.5,0,7.5,7.5
698,J25,1993,dry,C2,#008080,^,20,0.6,7.0,136.0,30.5,10.6,1.5,600.0,0,5.0,2.5
699,J25,1993,wet,C2,#008080,^,20,0.6,7.0,136.9,29.5,11.4,1.4,580.0,0,6.2,7.5
700,J25,1994,dry,C2,#008080,^,20,0.6,7.6,87.4,28.0,9.6,1.7,440.0,0,7.5,2.5
701,J25,1994,wet,C2,#008080,^,20,0.6,7.5,88.2,29.0,10.6,1.8,437.5,0,6.2,2.5
702,J25,1995,dry,C2,#008080,^,20,0.6,6.9,136.0,29.0,11.9,2.1,597.5,0,8.8,10.0
703,J25,1995,wet,C2,#008080,^,20,0.6,7.3,138.5,28.0,14.5,2.2,590.3,0,6.3,2.5
704,J25,1996,dry,C2,#008080,^,20,0.6,7.3,137.69,29.5,10.9,1.7,597.53,0,6.25,1.0
705,J25,1996,wet,C2,#008080,^,20,0.6,7.0,140.17,28.0,11.6,1.6,590.03,0,6.25,1.0
706,J25,1997,dry,C2,#008080,^,20,0.6,7.85,136.04,28.0,10.65,1.45,577.53,0,7.5,1.0
707,J25,1997,wet,C2,#008080,^,20,0.6,8.1,91.52,34.0,10.0,1.55,455.02,0,6.25,1.0
708,J25,1998,dry,C2,#008080,^,20,0.6,7.16,136.04,30.0,14.8,1.8,585.03,0,10.0,1.0
709,J25,1998,wet,C2,#008080,^,20,0.6,7.59,132.74,30.5,10.0,1.57,582.53,0,7.5,1.0
710,J25,1999,wet,C7,#e6194b,D,20,0.6,7.21,170.67,39.5,20.3,3.7,742.54,0,37.5,1.0
711,J25,2000,dry,C7,#e6194b,D,20,0.6,7.19,174.79,42.5,25.0,5.75,750.04,0,50.0,1.0
712,J25,2000,wet,C7,#e6194b,D,20,0.6,6.91,162.43,47.0,24.44,4.7,770.04,0,47.5,1.0
713,J25,2001,dry,C7,#e6194b,D,20,0.6,7.08,181.39,39.5,29.23,5.0,770.04,0,47.5,1.0
714,J25,2001,wet,C7,#e6194b,D,20,0.6,7.06,178.09,40.0,24.67,5.0,762.54,0,45.0,2.0
715,J25,2002,dry,C1,#808000,s,20,0.6,7.36,122.03,41.5,30.028,8.693,525.03,0,55.0,5.2
716,J25,2002,wet,C1,#808000,s,20,0.6,7.8,95.64,34.5,22.64,2.08,460.02,0,38.75,4.4
717,J25,2003,dry,C7,#e6194b,D,20,0.6,7.88,176.44,43.5,22.76,4.63,760.04,0,45.0,5.0
718,J25,2003,wet,C7,#e6194b,D,20,0.6,7.51,145.11,46.0,34.93,7.56,762.54,0,10.0,10.0
719,J25,2004,dry,C7,#e6194b,D,20,0.6,7.83,137.08,40.5,26.08,4.82,647.53,0,41.25,1.0
720,J25,2004,wet,C1,#808000,s,20,0.6,7.82,162.43,34.5,20.05,1.1,625.03,0,20.0,50.0
721,J25,2005,dry,C1,#808000,s,20,0.6,7.45,151.71,28.5,27.2,0.65,557.5,0,35.0,60.0
722,J25,2005,wet,C7,#e6194b,D,20,0.6,7.67,131.92,41.5,27.17,5.22,632.5,0,51.25,0.2
723,J25,2006,dry,C7,#e6194b,D,20,0.6,7.97,178.09,43.5,31.24,7.32,747.5,0,57.5,1.0
724,J25,2006,wet,C1,#808000,s,20,0.6,7.57,110.48,60.0,55.78,2.37,500.0,0,162.5,20.0
725,J25,2007,dry,C1,#808000,s,20,0.6,7.83,142.64,39.0,26.39,0.68,535.0,0,42.5,52.0
726,J25,2007,wet,C5,#FA8072,^,20,0.6,8.15,79.98,23.5,25.24,0.53,242.5,0,46.25,64.0
727,J25,2008,dry,C1,#808000,s,20,0.6,7.29,165.72,29.5,25.84,0.63,530.0,0,46.25,80.0
728,J25,2008,wet,C1,#808000,s,20,0.6,7.66,128.62,30.0,25.36,0.55,435.0,0,46.25,30.0
729,J25,2009,dry,C2,#008080,^,20,0.6,7.55,127.8,30.0,17.24,1.06,590.0,0,3.75,1.0
730,J25,2009,wet,C1,#808000,s,20,0.6,7.39,136.87,21.0,26.96,0.76,422.5,0,43.75,50.0
731,J25,2010,dry,C1,#808000,s,20,0.6,7.38,151.71,25.0,26.03,0.71,465.0,0,48.75,100.0
732,J25,2010,wet,C1,#808000,s,20,0.6,7.47,151.71,25.0,26.4,0.63,437.5,0,56.25,60.0
733,J25,2011,dry,C1,#808000,s,20,0.6,7.49,159.95,20.0,24.76,0.54,530.0,0,41.25,12.0
734,J25,2011,wet,C1,#808000,s,20,0.6,7.59,105.84,28.79,31.5,0.98,437.63,0,16.76,27.0
735,J25,2012,dry,C1,#808000,s,20,0.6,7.75,160.76,37.06,29.17,1.28,589.62,0,39.19,60.0
736,J25,2012,wet,C2,#008080,^,20,0.6,7.58,150.4,35.63,0.92,2.72,508.4,0,47.59,60.0
737,J25,2013,dry,C1,#808000,s,20,0.6,7.45,184.36,30.14,32.23,1.39,607.26,0,48.34,27.5
738,J25,2013,wet,C1,#808000,s,20,0.6,7.28,144.28,33.06,26.97,1.71,488.13,0,43.59,60.98
739,J25,2014,dry,C1,#808000,s,20,0.6,7.22,179.46,31.93,30.78,0.94,636.72,0,38.91,59.73
740,J25,2014,wet,C1,#808000,s,20,0.6,7.84,92.99,15.07,23.39,3.95,297.5,0,25.03,50.0
741,J26,1992,dry,C2,#008080,^,20,0.6,6.9,136.0,36.0,27.6,1.3,647.5,0,6.2,5.0
742,J26,1993,dry,C2,#008080,^,20,0.6,7.1,136.9,38.0,14.9,0.8,632.5,0,12.5,12.5
743,J26,1993,wet,C2,#008080,^,20,0.6,7.5,127.8,37.5,12.7,0.7,600.0,0,6.2,2.5
744,J26,1994,wet,C1,#808000,s,20,0.6,6.9,135.2,36.5,13.1,1.0,615.0,0,6.2,2.5
745,J26,1995,dry,C2,#008080,^,20,0.6,6.9,132.7,35.0,14.8,1.3,635.0,0,10.0,7.5
746,J26,1995,wet,C2,#008080,^,20,0.6,7.4,103.1,19.0,23.5,1.7,452.7,0,1.3,2.5
747,J26,1996,dry,C2,#008080,^,20,0.6,8.0,115.43,25.5,10.0,2.3,482.52,0,3.75,1.0
748,J26,1996,wet,C2,#008080,^,20,0.6,7.4,102.24,23.5,20.4,1.7,487.52,0,1.25,2.0
749,J26,1997,dry,C2,#008080,^,20,0.6,7.14,98.94,24.5,20.13,1.29,472.52,0,2.5,1.0
750,J26,1997,wet,C2,#008080,^,20,0.6,8.1,89.05,29.5,18.57,1.3,455.02,0,0.01,1.0
751,J26,1998,dry,C2,#008080,^,20,0.6,6.89,104.71,23.0,21.6,2.1,485.02,0,1.25,1.0
752,J26,1998,wet,C2,#008080,^,20,0.6,7.53,95.64,28.5,20.0,1.43,470.02,0,1.25,1.0
753,J26,1999,dry,C2,#008080,^,20,0.6,7.18,99.76,24.0,20.8,1.7,480.02,0,2.5,1.0
754,J26,1999,wet,C2,#008080,^,20,0.6,7.04,93.99,23.0,21.4,1.3,465.02,0,2.5,1.0
755,J26,2000,dry,C2,#008080,^,20,0.6,7.72,96.47,22.5,20.0,1.44,462.52,0,1.25,1.0
756,J26,2000,wet,C2,#008080,^,20,0.6,7.3,86.57,23.5,23.33,1.4,447.52,0,1.25,1.0
757,J26,2001,dry,C2,#008080,^,20,0.6,7.01,117.08,24.5,11.43,2.58,525.03,0,5.0,1.0
758,J26,2001,wet,C2,#008080,^,20,0.6,7.58,96.47,23.0,22.0,1.5,465.02,0,2.5,1.0
759,J26,2002,dry,C2,#008080,^,20,0.6,7.95,83.27,23.5,22.422,2.011,420.02,0,2.5,1.0
760,J26,2002,wet,C2,#008080,^,20,0.6,7.5,79.98,25.0,24.75,2.24,442.52,0,1.25,0.4
761,J26,2003,dry,C2,#008080,^,20,0.6,7.97,75.85,25.0,20.52,1.43,400.02,0,6.25,1.0
762,J26,2003,wet,C4,#0082c8,s,20,0.6,7.25,65.14,22.0,25.54,1.35,367.52,0,10.0,1.0
763,J26,2004,dry,C2,#008080,^,20,0.6,8.28,95.64,24.0,21.14,1.3,450.02,0,2.5,1.0
764,J26,2004,wet,C2,#008080,^,20,0.6,8.1,119.55,25.5,10.12,1.98,512.53,0,2.5,1.0
765,J26,2005,dry,C2,#008080,^,20,0.6,7.62,98.94,23.0,22.2,1.42,472.5,0,1.25,1.0
766,J26,2005,wet,C2,#008080,^,20,0.6,8.05,84.92,25.0,21.35,1.38,435.0,0,5.0,0.2
767,J26,2006,dry,C2,#008080,^,20,0.6,8.32,94.82,23.5,22.0,1.38,457.5,0,1.25,1.0
768,J26,2006,wet,C2,#008080,^,20,0.6,8.1,65.14,24.0,23.77,1.36,320.0,0,30.0,1.0
769,J26,2007,dry,C2,#008080,^,20,0.6,7.62,89.05,21.5,23.54,1.38,442.5,0,2.5,1.0
770,J26,2007,wet,C2,#008080,^,20,0.6,8.23,56.89,26.0,19.47,1.3,340.0,0,11.25,1.0
771,J26,2008,dry,C2,#008080,^,20,0.6,7.5,67.61,39.5,21.88,1.54,457.5,0,1.25,2.0
772,J26,2008,wet,C2,#008080,^,20,0.6,8.32,85.75,22.5,21.53,1.38,410.0,0,2.5,1.0
773,J26,2009,dry,C1,#808000,s,20,0.6,7.38,160.78,30.0,34.84,0.93,572.5,0,55.0,60.0
774,J26,2009,wet,C2,#008080,^,20,0.6,8.46,105.54,26.0,18.36,1.6,450.0,0,10.0,1.0
775,J26,2010,dry,C2,#008080,^,20,0.6,7.6,98.12,23.0,20.15,1.51,467.5,0,2.5,1.0
776,J26,2010,wet,C2,#008080,^,20,0.6,7.56,100.59,23.0,19.86,1.38,462.5,0,2.5,1.0
777,J26,2011,dry,C2,#008080,^,20,0.6,7.65,104.71,25.5,16.37,1.36,482.5,0,3.75,6.0
778,J26,2011,wet,C2,#008080,^,20,0.6,8.13,100.39,22.66,23.96,1.96,405.91,0,44.7,2.0
779,J26,2012,dry,C2,#008080,^,20,0.6,7.8,101.83,29.46,21.25,2.49,505.39,0,2.8,1.0
780,J26,2012,wet,C2,#008080,^,20,0.6,7.9,89.3,20.91,21.08,1.98,431.55,0,9.8,8.0
781,J26,2013,dry,C2,#008080,^,20,0.6,7.66,135.47,39.38,13.2,1.64,672.12,0,5.86,2.0
782,J26,2013,wet,C1,#808000,s,20,0.6,7.42,129.06,17.02,46.67,6.34,376.39,0,39.98,77.82
783,J26,2014,wet,C1,#808000,s,20,0.6,7.56,117.84,20.42,40.44,3.91,382.5,0,38.93,52.0
784,J27,1993,wet,C4,#0082c8,s,20,0.6,7.3,70.1,14.0,29.0,1.3,357.5,0,1.2,2.5
785,J27,1994,wet,C4,#0082c8,s,20,0.6,7.1,71.7,12.5,29.9,1.0,367.5,0,1.2,5.0
786,J27,1995,dry,C4,#0082c8,s,20,0.6,7.5,71.7,14.0,35.5,1.2,372.5,0,3.8,12.5
787,J27,1995,wet,C4,#0082c8,s,20,0.6,8.0,62.7,17.0,29.9,0.9,335.2,0,1.3,2.5
788,J27,1996,dry,C4,#0082c8,s,20,0.6,7.2,72.56,14.0,29.0,1.0,367.52,0,1.25,1.0
